arm_id,attempt_id,battery_capacity_start,battery_status_end,battery_status_start,bench_json,benchmark,boot_id,charge_delta_uah,config,cool_timeout,cool_wait_s,device_online,energy_j,energy_j_timestamped,energy_metric_used,energy_scope,entry_temp_mC,mask,mode,policy0_khz_max,policy0_khz_mean,policy6_khz_max,policy6_khz_mean,power_w_mean,rc,rep_batch,sampler_samples,samples_are_per_rep,schema_version,suspend_detected,suspend_detected_by_device,t_end,t_start,telemetry_csv,telemetry_samples,test,threads,tokens_counted,tokens_per_joule,tps_iqr,tps_max,tps_median,tps_min,tps_n,tps_q1,tps_q3,trace_captured,trace_evicted,valid,wall_s
prefill.pp_t4_free.b0,a8c8396159f4468e9f2791a547b10915,90,Discharging,Discharging,out/prefill_kai/bench_json/bench_prefill.pp_t4_free.b0.json,llama-bench-kai,6e7b509d-21c4-4ad6-8da0-04c341036958,0.0,pp_t4_free,False,60.5,True,127.51,112.69,energy_j_timestamped,invocation_incl_setup,37800.0,free,prefill,1500000.0,1439285.7,1532000.0,1532000.0,1.783,0,0,29,True,5,False,False,17005.08,16933.57,out/prefill_kai/telemetry/prefill.pp_t4_free.b0.csv,28,pp,4,2560,22.717,12.484,68.516,68.064,45.372,5,55.834,68.319,False,False,True,71.51
prefill.pp_t4_free.b1,8d55fb3a73604537b064ad65ee17d4be,89,Discharging,Discharging,out/prefill_kai/bench_json/bench_prefill.pp_t4_free.b1.json,llama-bench-kai,6e7b509d-21c4-4ad6-8da0-04c341036958,0.0,pp_t4_free,False,56.1,True,138.22,132.54,energy_j_timestamped,invocation_incl_setup,40100.0,free,prefill,1500000.0,1466035.7,1532000.0,1532000.0,1.939,0,1,29,True,5,False,False,18027.46,17956.16,out/prefill_kai/telemetry/prefill.pp_t4_free.b1.csv,28,pp,4,2560,19.315,11.199,68.536,62.254,53.765,5,56.209,67.408,False,False,True,71.3
prefill.pp_t4_free.b2,4b0a63d4f1244094948553f67bb7f613,88,Discharging,Discharging,out/prefill_kai/bench_json/bench_prefill.pp_t4_free.b2.json,llama-bench-kai,6e7b509d-21c4-4ad6-8da0-04c341036958,0.0,pp_t4_free,False,57.1,True,121.91,111.77,energy_j_timestamped,invocation_incl_setup,36000.0,free,prefill,1500000.0,1490517.2,1532000.0,1525862.1,1.854,0,2,30,True,5,False,False,18624.16,18558.41,out/prefill_kai/telemetry/prefill.pp_t4_free.b2.csv,29,pp,4,2560,22.904,0.901,68.372,66.769,66.345,5,66.767,67.668,False,False,True,65.75
prefill.pp_t6_bal.b0,863df5ce709b4feea416197ea5573e74,89,Discharging,Discharging,out/prefill_kai/bench_json/bench_prefill.pp_t6_bal.b0.json,llama-bench-kai,6e7b509d-21c4-4ad6-8da0-04c341036958,0.0,pp_t6_bal,False,47.5,True,80.91,72.16,energy_j_timestamped,invocation_incl_setup,40100.0,0xCF,prefill,1500000.0,1419058.8,1532000.0,1532000.0,2.081,0,0,18,True,5,False,False,17691.98,17653.1,out/prefill_kai/telemetry/prefill.pp_t6_bal.b0.csv,17,pp,6,2560,35.477,0.761,91.288,89.427,88.023,5,88.922,89.683,False,False,True,38.88
prefill.pp_t6_bal.b1,6fd8eba267184906b0d1b3505456e934,88,Discharging,Discharging,out/prefill_kai/bench_json/bench_prefill.pp_t6_bal.b1.json,llama-bench-kai,6e7b509d-21c4-4ad6-8da0-04c341036958,0.0,pp_t6_bal,False,69.7,True,170.13,157.35,energy_j_timestamped,invocation_incl_setup,36000.0,0xCF,prefill,1500000.0,1456944.4,1532000.0,1532000.0,2.112,0,1,19,True,5,False,False,18180.83,18100.26,out/prefill_kai/telemetry/prefill.pp_t6_bal.b1.csv,18,pp,6,2560,16.269,2.606,69.287,65.78,64.207,5,64.627,67.233,False,False,True,80.57
prefill.pp_t6_bal.b2,3fcc991f6f7a450bbdb3e63b77294b5e,87,Discharging,Discharging,out/prefill_kai/bench_json/bench_prefill.pp_t6_bal.b2.json,llama-bench-kai,6e7b509d-21c4-4ad6-8da0-04c341036958,0.0,pp_t6_bal,False,75.9,True,176.82,159.85,energy_j_timestamped,invocation_incl_setup,35000.0,0xCF,prefill,1500000.0,1422058.8,1532000.0,1532000.0,2.134,0,2,18,True,5,False,False,19129.97,19047.13,out/prefill_kai/telemetry/prefill.pp_t6_bal.b2.csv,17,pp,6,2560,16.015,3.41,71.64,67.655,62.689,5,66.113,69.522,False,False,True,82.84
prefill.pp_t6_free.b0,7639866e768f4b1386090f6d4cb53d92,87,Discharging,Discharging,out/prefill_kai/bench_json/bench_prefill.pp_t6_free.b0.json,llama-bench-kai,6e7b509d-21c4-4ad6-8da0-04c341036958,26000.0,pp_t6_free,False,80.7,True,226.43,192.8,energy_j_timestamped,invocation_incl_setup,42200.0,free,prefill,1700000.0,1556481.5,2000000.0,1749888.9,3.102,0,0,28,True,5,False,False,19718.98,19645.99,out/prefill_kai/telemetry/prefill.pp_t6_free.b0.csv,27,pp,6,2560,13.278,53.642,101.924,41.22,25.72,5,27.43,81.072,False,False,True,72.99
prefill.pp_t6_free.b1,cd432ce224954c8b9220e1c0fb6f74a6,89,Discharging,Discharging,out/prefill_kai/bench_json/bench_prefill.pp_t6_free.b1.json,llama-bench-kai,6e7b509d-21c4-4ad6-8da0-04c341036958,0.0,pp_t6_free,False,53.5,True,111.11,97.84,energy_j_timestamped,invocation_incl_setup,40800.0,free,prefill,1500000.0,1435000.0,1532000.0,1532000.0,2.226,0,1,21,True,5,False,False,17897.85,17847.93,out/prefill_kai/telemetry/prefill.pp_t6_free.b1.csv,20,pp,6,2560,26.165,9.304,90.265,89.108,66.869,5,80.406,89.709,False,False,True,49.92
prefill.pp_t6_free.b2,9e55e4960e984374857cce8f33a0aaf8,88,Discharging,Discharging,out/prefill_kai/bench_json/bench_prefill.pp_t6_free.b2.json,llama-bench-kai,6e7b509d-21c4-4ad6-8da0-04c341036958,26000.0,pp_t6_free,False,52.5,True,191.9,178.89,energy_j_timestamped,invocation_incl_setup,39900.0,free,prefill,1500000.0,1387500.0,1532000.0,1475650.0,2.017,0,2,21,True,5,False,False,18775.21,18680.05,out/prefill_kai/telemetry/prefill.pp_t6_free.b2.csv,20,pp,6,2560,14.31,2.539,61.612,60.296,54.596,5,58.526,61.066,False,False,True,95.16
prefill.pp_t6_lit.b0,5e298a3d167f495595dc722b5d93874a,89,Discharging,Discharging,out/prefill_kai/bench_json/bench_prefill.pp_t6_lit.b0.json,llama-bench-kai,6e7b509d-21c4-4ad6-8da0-04c341036958,0.0,pp_t6_lit,False,47.3,True,81.38,76.89,energy_j_timestamped,invocation_incl_setup,40500.0,0x3F,prefill,1500000.0,1500000.0,1532000.0,1402342.9,1.605,0,0,36,True,5,False,False,17792.24,17741.53,out/prefill_kai/telemetry/prefill.pp_t6_lit.b0.csv,35,pp,6,2560,33.294,1.476,76.397,75.986,72.414,5,74.834,76.31,False,False,True,50.71
