arm_id,attempt_id,battery_capacity_start,battery_status_end,battery_status_start,bench_json,benchmark,boot_id,charge_delta_uah,config,cool_timeout,cool_wait_s,device_online,energy_j,energy_j_timestamped,energy_metric_used,energy_scope,entry_temp_mC,mask,mode,policy0_khz_max,policy0_khz_mean,policy6_khz_max,policy6_khz_mean,power_w_mean,rc,rep_batch,sampler_samples,samples_are_per_rep,schema_version,suspend_detected,suspend_detected_by_device,t_end,t_start,telemetry_csv,telemetry_samples,test,threads,tokens_counted,tokens_per_joule,tps_iqr,tps_max,tps_median,tps_min,tps_n,tps_q1,tps_q3,trace_captured,trace_evicted,valid,wall_s
prefill.pp_t4_free.b0,9f349e6503934d04b5e5e2e03c6ac907,93,Discharging,Discharging,out/prefill_stock/bench_json/bench_prefill.pp_t4_free.b0.json,llama-bench,6e7b509d-21c4-4ad6-8da0-04c341036958,0.0,pp_t4_free,False,71.5,True,209.44,200.78,energy_j_timestamped,invocation_incl_setup,34000.0,free,prefill,1500000.0,1416964.3,1532000.0,1532000.0,1.922,0,0,29,True,5,False,False,14319.69,14210.73,out/prefill_stock/telemetry/prefill.pp_t4_free.b0.csv,28,pp,4,2560,12.75,3.528,51.822,47.507,46.069,5,46.884,50.412,False,False,True,108.96
prefill.pp_t4_free.b1,44e734374c2241a88fc9d24b77275484,92,Discharging,Discharging,out/prefill_stock/bench_json/bench_prefill.pp_t4_free.b1.json,llama-bench,6e7b509d-21c4-4ad6-8da0-04c341036958,0.0,pp_t4_free,False,49.3,True,88.4,84.35,energy_j_timestamped,invocation_incl_setup,39500.0,free,prefill,1500000.0,1466035.7,1532000.0,1516107.1,1.827,0,1,29,True,5,False,False,15312.33,15263.93,out/prefill_stock/telemetry/prefill.pp_t4_free.b1.csv,28,pp,4,2560,30.35,0.519,67.606,66.757,66.268,5,66.73,67.249,False,False,True,48.4
prefill.pp_t4_free.b2,52abc73bc99f4b03ba8518c4d35b2f6c,91,Discharging,Discharging,out/prefill_stock/bench_json/bench_prefill.pp_t4_free.b2.json,llama-bench,6e7b509d-21c4-4ad6-8da0-04c341036958,26000.0,pp_t4_free,False,76.9,True,123.32,117.3,energy_j_timestamped,invocation_incl_setup,44200.0,free,prefill,1500000.0,1491964.3,1532000.0,1532000.0,1.951,0,2,29,True,5,False,False,15898.86,15835.66,out/prefill_stock/telemetry/prefill.pp_t4_free.b2.csv,28,pp,4,2560,21.824,12.29,67.796,56.041,52.729,5,54.774,67.063,False,False,True,63.2
prefill.pp_t6_bal.b0,76a236b85dec4a3cb90d6ee45314e29c,92,Discharging,Discharging,out/prefill_stock/bench_json/bench_prefill.pp_t6_bal.b0.json,llama-bench,6e7b509d-21c4-4ad6-8da0-04c341036958,26000.0,pp_t6_bal,False,79.2,True,185.02,158.94,energy_j_timestamped,invocation_incl_setup,35000.0,0xCF,prefill,1500000.0,1489062.5,1532000.0,1517187.5,2.189,0,0,17,True,5,False,False,14985.03,14900.49,out/prefill_stock/telemetry/prefill.pp_t6_bal.b0.csv,16,pp,6,2560,16.107,7.503,70.708,63.915,62.065,5,62.175,69.678,False,False,True,84.54
prefill.pp_t6_bal.b1,2889d27e6e824093abc4f536a0ae06a0,91,Discharging,Discharging,out/prefill_stock/bench_json/bench_prefill.pp_t6_bal.b1.json,llama-bench,6e7b509d-21c4-4ad6-8da0-04c341036958,26000.0,pp_t6_bal,False,47.9,True,101.74,83.77,energy_j_timestamped,invocation_incl_setup,39400.0,0xCF,prefill,1500000.0,1462500.0,1532000.0,1532000.0,2.292,0,1,17,True,5,False,False,15406.95,15362.56,out/prefill_stock/telemetry/prefill.pp_t6_bal.b1.csv,16,pp,6,2560,30.56,15.477,91.334,90.348,72.485,5,75.599,91.076,False,False,True,44.39
prefill.pp_t6_bal.b2,a005db473cad409f9e337ec5f1eb4984,90,Discharging,Discharging,out/prefill_stock/bench_json/bench_prefill.pp_t6_bal.b2.json,llama-bench,6e7b509d-21c4-4ad6-8da0-04c341036958,0.0,pp_t6_bal,False,73.4,True,110.34,89.28,energy_j_timestamped,invocation_incl_setup,35000.0,0xCF,prefill,1500000.0,1459375.0,1532000.0,1532000.0,2.245,0,2,17,True,5,False,False,16260.12,16210.97,out/prefill_stock/telemetry/prefill.pp_t6_bal.b2.csv,16,pp,6,2560,28.674,6.711,91.267,84.83,65.035,5,83.49,90.2,False,False,True,49.15
prefill.pp_t6_free.b0,c485a8cc8106491ea57db3b7b2dcb582,93,Discharging,Discharging,out/prefill_stock/bench_json/bench_prefill.pp_t6_free.b0.json,llama-bench,6e7b509d-21c4-4ad6-8da0-04c341036958,25000.0,pp_t6_free,False,71.5,True,245.13,218.6,energy_j_timestamped,invocation_incl_setup,34000.0,free,prefill,774000.0,511913.0,1532000.0,1532000.0,1.545,0,0,24,True,5,False,False,14552.48,14393.86,out/prefill_stock/telemetry/prefill.pp_t6_free.b0.csv,23,pp,6,2560,11.711,3.252,37.036,33.52,29.136,5,31.265,34.517,False,False,True,158.62
prefill.pp_t6_free.b1,7921c2cc3d9543e89e74465ff598da49,92,Discharging,Discharging,out/prefill_stock/bench_json/bench_prefill.pp_t6_free.b1.json,llama-bench,6e7b509d-21c4-4ad6-8da0-04c341036958,0.0,pp_t6_free,False,49.8,True,107.61,99.43,energy_j_timestamped,invocation_incl_setup,39000.0,free,prefill,1500000.0,1493421.1,1532000.0,1532000.0,2.136,0,1,20,True,5,False,False,15212.38,15162.01,out/prefill_stock/telemetry/prefill.pp_t6_free.b1.csv,19,pp,6,2560,25.747,21.256,91.222,89.212,65.394,5,68.883,90.139,False,False,True,50.37
prefill.pp_t6_free.b2,c25ac2e8593f4459891e9a13ed9c911e,91,Discharging,Discharging,out/prefill_stock/bench_json/bench_prefill.pp_t6_free.b2.json,llama-bench,6e7b509d-21c4-4ad6-8da0-04c341036958,0.0,pp_t6_free,False,62.9,True,85.52,78.32,energy_j_timestamped,invocation_incl_setup,38900.0,free,prefill,1500000.0,1493421.1,1532000.0,1527315.8,2.151,0,2,20,True,5,False,False,16003.75,15963.99,out/prefill_stock/telemetry/prefill.pp_t6_free.b2.csv,19,pp,6,2560,32.686,1.1,90.828,90.045,77.701,5,89.085,90.186,False,False,True,39.76
prefill.pp_t6_lit.b0,ea0e55c7a8954a75bb40382e680a1059,92,Discharging,Discharging,out/prefill_stock/bench_json/bench_prefill.pp_t6_lit.b0.json,llama-bench,6e7b509d-21c4-4ad6-8da0-04c341036958,0.0,pp_t6_lit,False,49.6,True,113.79,108.88,energy_j_timestamped,invocation_incl_setup,39400.0,0x3F,prefill,1500000.0,1500000.0,1532000.0,1364281.2,1.698,0,0,33,True,5,False,False,15110.01,15042.99,out/prefill_stock/telemetry/prefill.pp_t6_lit.b0.csv,32,pp,6,2560,23.512,13.48,77.771,67.491,53.663,5,55.112,68.592,False,False,True,67.02
