#arm_id	pass	config	threads	mask	test	reps	rep_batch	n_prompt	n_gen	telemetry	trace	events	variant
sweep.tg_t6_free.b0	sweep	tg_t6_free	6	free	tg	20	0	0	128	1	1	-	-
sweep.pp_t2_A75.b0	sweep	pp_t2_A75	2	0xC0	pp	20	0	512	0	1	1	-	-
sweep.tg_t8_free.b0	sweep	tg_t8_free	8	free	tg	20	0	0	128	1	1	-	-
sweep.tg_t6_A55.b0	sweep	tg_t6_A55	6	0x3F	tg	20	0	0	128	1	1	-	-
sweep.pp_t8_free.b0	sweep	pp_t8_free	8	free	pp	20	0	512	0	1	1	-	-
sweep.tg_t2_A75.b0	sweep	tg_t2_A75	2	0xC0	tg	20	0	0	128	1	1	-	-
sweep.tg_t2_A55.b0	sweep	tg_t2_A55	2	0x03	tg	20	0	0	128	1	1	-	-
sweep.pp_t6_A55.b0	sweep	pp_t6_A55	6	0x3F	pp	20	0	512	0	1	1	-	-
sweep.tg_t2_free.b0	sweep	tg_t2_free	2	free	tg	20	0	0	128	1	1	-	-
sweep.tg_t4_free.b0	sweep	tg_t4_free	4	free	tg	20	0	0	128	1	1	-	-
sweep.tg_t4_mix.b0	sweep	tg_t4_mix	4	0xC3	tg	20	0	0	128	1	1	-	-
sweep.tg_t4_mix.b1	sweep	tg_t4_mix	4	0xC3	tg	20	1	0	128	1	0	-	-
sweep.tg_t4_free.b1	sweep	tg_t4_free	4	free	tg	20	1	0	128	1	0	-	-
sweep.tg_t2_A55.b1	sweep	tg_t2_A55	2	0x03	tg	20	1	0	128	1	0	-	-
sweep.pp_t2_A75.b1	sweep	pp_t2_A75	2	0xC0	pp	20	1	512	0	1	0	-	-
sweep.tg_t2_A75.b1	sweep	tg_t2_A75	2	0xC0	tg	20	1	0	128	1	0	-	-
sweep.tg_t6_A55.b1	sweep	tg_t6_A55	6	0x3F	tg	20	1	0	128	1	0	-	-
sweep.tg_t6_free.b1	sweep	tg_t6_free	6	free	tg	20	1	0	128	1	0	-	-
sweep.pp_t8_free.b1	sweep	pp_t8_free	8	free	pp	20	1	512	0	1	0	-	-
sweep.pp_t6_A55.b1	sweep	pp_t6_A55	6	0x3F	pp	20	1	512	0	1	0	-	-
sweep.tg_t2_free.b1	sweep	tg_t2_free	2	free	tg	20	1	0	128	1	0	-	-
sweep.tg_t8_free.b1	sweep	tg_t8_free	8	free	tg	20	1	0	128	1	0	-	-
sweep.tg_t4_mix.b2	sweep	tg_t4_mix	4	0xC3	tg	20	2	0	128	1	0	-	-
sweep.pp_t8_free.b2	sweep	pp_t8_free	8	free	pp	20	2	512	0	1	0	-	-
sweep.tg_t6_A55.b2	sweep	tg_t6_A55	6	0x3F	tg	20	2	0	128	1	0	-	-
sweep.tg_t8_free.b2	sweep	tg_t8_free	8	free	tg	20	2	0	128	1	0	-	-
sweep.tg_t2_A75.b2	sweep	tg_t2_A75	2	0xC0	tg	20	2	0	128	1	0	-	-
sweep.tg_t2_free.b2	sweep	tg_t2_free	2	free	tg	20	2	0	128	1	0	-	-
sweep.tg_t2_A55.b2	sweep	tg_t2_A55	2	0x03	tg	20	2	0	128	1	0	-	-
sweep.pp_t6_A55.b2	sweep	pp_t6_A55	6	0x3F	pp	20	2	512	0	1	0	-	-
sweep.pp_t2_A75.b2	sweep	pp_t2_A75	2	0xC0	pp	20	2	512	0	1	0	-	-
sweep.tg_t4_free.b2	sweep	tg_t4_free	4	free	tg	20	2	0	128	1	0	-	-
